"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.505030000E-1,-1.535856165E-3,1.892721164E-3,1.042928779E-3
8.604690000E-1,1.876661554E-5,2.533873543E-3,1.814500312E-3
8.704350000E-1,-1.465945970E-3,1.021730597E-3,2.648069931E-4
8.804000000E-1,1.198844984E-4,3.632406006E-3,2.928554895E-4
8.903659583E-1,-9.246072732E-4,1.844892278E-3,-1.644327771E-3
9.003319583E-1,-1.732317731E-3,4.245386459E-3,4.656038655E-4
9.102969583E-1,-6.239106879E-4,3.886392340E-3,-9.637146723E-4
9.202629583E-1,1.948080026E-4,6.282264367E-3,-1.613616594E-3
9.302289583E-1,-2.206298057E-3,3.188736271E-3,-2.121747704E-3
9.401939583E-1,-1.660570968E-3,6.098356564E-3,1.256929361E-3
9.501599583E-1,-2.360715996E-3,5.295413546E-3,1.594407659E-4
9.601259583E-1,-1.070443541E-3,5.293634720E-3,9.612787981E-4
9.700909583E-1,2.076880075E-3,2.970825881E-3,-1.433968311E-3
9.800569583E-1,2.056614030E-3,1.312027802E-3,-2.454726258E-3
9.900229583E-1,-1.226264518E-3,4.317937419E-3,-1.691464451E-3
9.999879583E-1,-1.292189118E-3,3.828900866E-3,-7.985463599E-4
1.009953958E0,6.247544661E-4,3.735956736E-3,-1.207718888E-4
1.019919958E0,-1.619318034E-3,4.515452310E-3,-2.382033970E-3
1.029884958E0,4.267888144E-4,-4.321681336E-4,-3.258213867E-3
1.039850958E0,9.405366145E-4,5.543626845E-3,-1.914177788E-3
1.049816958E0,-1.364163123E-3,1.825853833E-3,3.601616772E-4
1.059781958E0,1.810891554E-4,6.834474858E-3,1.169731142E-3
1.069747958E0,-2.442124765E-3,2.213890664E-3,-8.883598493E-4
1.079713958E0,2.497015521E-5,6.365658715E-3,-9.279572987E-4
1.089678958E0,2.237258013E-3,-4.883110523E-5,-3.470743308E-3
1.099644958E0,-1.880240161E-3,1.345315599E-3,-1.429711701E-4
1.109609958E0,2.362174913E-3,-7.287540939E-4,-4.577568034E-4
1.119575958E0,2.438728232E-3,1.482349471E-3,1.079069450E-3
1.129541958E0,-2.329549752E-4,1.127083786E-3,3.890444350E-4
1.139506958E0,7.767463103E-5,1.455934136E-3,-1.630729996E-3
1.149472958E0,-3.841174766E-4,-8.484991267E-4,-8.592122467E-4
1.159438958E0,2.236817498E-3,1.509928727E-3,6.005202886E-4
1.169403958E0,-1.789615955E-3,5.056506488E-4,-1.043715281E-3
1.179369958E0,8.453857154E-4,1.322214375E-3,6.293922197E-4
1.189335958E0,3.186037997E-3,-6.727594882E-4,1.404359064E-4
1.199300958E0,1.062595285E-3,-9.467490017E-4,-3.279354190E-3
1.209266958E0,8.324980736E-4,-2.311352640E-3,-1.022059005E-3
1.219232958E0,2.042183653E-3,-6.601635832E-4,2.838917542E-3
1.229197958E0,1.316206064E-3,-1.006640960E-3,-1.688988879E-3
1.239163958E0,8.658133447E-4,1.179439831E-3,2.708796645E-3
1.249129958E0,1.248243265E-3,-3.009712556E-3,-1.189478062E-4
1.259094958E0,1.016423572E-3,1.049938612E-3,-5.794516765E-4
