"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.732710000E-1,1.384620667E-1,-1.751358032E-2,9.796977081E0
7.832370000E-1,1.070274353E-1,1.571731567E-2,9.774224396E0
7.932020000E-1,5.373825073E-2,-3.293151855E-3,9.835447083E0
8.031680000E-1,2.633024597E-1,1.631607056E-2,9.876611481E0
8.131340000E-1,7.439529419E-2,5.987548828E-4,9.905501404E0
8.230990000E-1,2.908451843E-1,6.286926270E-3,9.793234863E0
8.330650000E-1,-1.856140137E-2,-2.365081787E-2,9.758058014E0
8.430310000E-1,1.975891113E-1,8.831634521E-3,9.742340698E0
8.529960000E-1,2.230361938E-2,-5.538482666E-3,9.868378601E0
8.629620000E-1,3.086581421E-1,1.137634277E-2,9.890532532E0
8.729280000E-1,1.106199646E-1,-1.257385254E-2,9.859846344E0
8.828930000E-1,2.309696960E-1,1.197509766E-3,9.772727509E0
8.928589583E-1,-3.397933960E-2,-1.676513672E-2,9.779613190E0
9.028249583E-1,1.947450256E-1,2.724334717E-2,9.840087433E0
9.127899583E-1,1.933978271E-1,-5.239105225E-3,9.945468292E0
9.227559583E-1,2.079176331E-1,1.601669312E-2,9.914931793E0
9.327209583E-1,1.645079041E-1,-5.239105225E-3,9.881102142E0
9.426869583E-1,1.073268127E-1,5.239105225E-3,9.803413696E0
9.526529583E-1,1.275347900E-1,-5.987548828E-4,9.838740234E0
9.626179583E-1,1.204994202E-1,1.661544800E-2,9.871522064E0
9.725839583E-1,1.913021851E-1,2.185455322E-2,9.961185608E0
9.825499583E-1,2.321672058E-1,2.409988403E-2,9.898166656E0
9.925149583E-1,1.365161133E-1,-4.490661621E-3,9.871372375E0
1.002480958E0,1.496887207E-1,-3.891906738E-3,9.766290894E0
1.012446958E0,-2.814147949E-2,2.065704346E-2,9.837243347E0
1.022411958E0,2.721340942E-1,2.454895020E-2,9.896969147E0
1.032377958E0,1.203497314E-1,1.736389160E-2,9.972412262E0
1.042343958E0,2.902464294E-1,-4.640350342E-3,9.850415955E0
1.052308958E0,1.901046753E-2,7.035369873E-3,9.817783813E0
1.062274958E0,1.378633118E-1,-2.993774414E-3,9.748627625E0
1.072240958E0,3.906875610E-2,1.556762695E-2,9.876312103E0
1.082205958E0,2.945874023E-1,1.646575928E-2,9.912836151E0
1.092171958E0,1.627116394E-1,3.742218018E-3,9.939331055E0
1.102137958E0,1.721420288E-1,-1.062789917E-2,9.838291168E0
1.112102958E0,1.068777466E-1,9.729766846E-3,9.839488678E0
1.122068958E0,8.158035278E-2,-5.837860107E-3,9.823921051E0
1.132034958E0,1.935475159E-1,2.380050659E-2,9.927805023E0
1.141999958E0,1.555265808E-1,8.382568359E-3,9.921368408E0
1.151965958E0,2.323168945E-1,1.047821045E-2,9.921518097E0
1.161931958E0,1.420545959E-1,-1.706451416E-2,9.820328522E0
1.171896958E0,1.508862305E-1,8.681945801E-3,9.804461517E0
1.181862958E0,8.936416626E-2,-9.430389404E-3,9.831704865E0
1.191828958E0,1.770817566E-1,4.266128540E-2,9.954299927E0
1.201793958E0,2.829116821E-1,-2.993774414E-3,9.910590820E0
1.211759958E0,1.327738953E-1,1.242416382E-2,9.874366150E0
1.221724958E0,1.568737793E-1,-2.095642090E-2,9.766590271E0
1.231690958E0,6.586303711E-3,2.514770508E-2,9.818083191E0
1.241656958E0,2.234852600E-1,-6.286926270E-3,9.877210236E0
1.251622958E0,1.877096558E-1,2.110610962E-2,9.948462067E0
1.261587958E0,2.462379456E-1,-1.886077881E-2,9.870025177E0
1.271553958E0,8.487350464E-2,1.586700439E-2,9.801018677E0
1.281518958E0,1.202000427E-1,-1.571731567E-2,9.783056030E0
1.291484958E0,1.395098877E-1,2.065704346E-2,9.834998016E0
1.301450958E0,1.381626892E-1,1.945953369E-3,9.890532532E0
1.311415958E0,2.468367004E-1,2.275268555E-2,9.903555450E0
1.321381958E0,8.517288208E-2,-1.616638184E-2,9.858050079E0
1.331347958E0,2.173480225E-1,1.676513672E-2,9.817634125E0
1.341312958E0,1.347198486E-2,-1.197509766E-2,9.805359650E0
1.351278958E0,2.354603577E-1,2.230361938E-2,9.887239380E0
1.361244958E0,8.427474976E-2,-5.837860107E-3,9.939331055E0
1.371209958E0,3.486250305E-1,2.529739380E-2,9.903405762E0
1.381175958E0,7.454498291E-2,-3.248245239E-2,9.823621674E0
1.391141958E0,1.558259583E-1,1.586700439E-2,9.759405212E0
1.401106958E0,4.715194702E-2,5.987548828E-4,9.815688171E0
1.411072958E0,2.104623413E-1,3.966751099E-2,9.911638641E0
1.421038958E0,2.667453003E-1,-8.981323242E-3,9.931996307E0
1.431003958E0,1.959425354E-1,7.933502197E-3,9.862391052E0
1.440969958E0,9.774673462E-2,-1.901046753E-2,9.820478210E0
1.450935958E0,6.646179199E-2,1.586700439E-2,9.801916809E0
1.460900958E0,1.649569702E-1,-1.077758789E-2,9.898016968E0
1.470866958E0,1.826202393E-1,1.796264648E-2,9.912836151E0
1.480832958E0,1.972897339E-1,-6.436614990E-3,9.898016968E0
1.490797958E0,1.490899658E-1,4.939727783E-3,9.818981323E0
1.500763958E0,8.217910767E-2,1.796264648E-2,9.821376343E0
1.510729958E0,2.037263489E-1,-2.110610962E-2,9.779912567E0
1.520694958E0,3.772155762E-2,4.790039062E-3,9.952204285E0
1.530660958E0,2.381547546E-1,3.173400879E-2,9.886041870E0
1.540626958E0,1.487905884E-1,1.706451416E-2,9.872420197E0
1.550591958E0,1.950444031E-1,-5.089416504E-3,9.737999725E0
1.560557958E0,1.796264648E-3,-9.879455566E-3,9.861792297E0
1.570522958E0,2.142045593E-1,1.556762695E-2,9.911788330E0
1.580488958E0,1.630110168E-1,1.676513672E-2,9.949509888E0
1.590454958E0,2.851570129E-1,1.886077881E-2,9.847571869E0
1.600419958E0,3.637435913E-2,-1.287322998E-2,9.884245605E0
1.610385958E0,1.187031555E-1,1.916015625E-2,9.791288910E0
1.620351958E0,2.529739380E-2,1.526824951E-2,9.811796265E0
1.630316958E0,1.766326904E-1,8.382568359E-3,9.843979340E0
1.640282958E0,1.237925720E-1,2.095642090E-3,9.996661835E0
1.650248958E0,2.716850281E-1,5.089416504E-3,9.840237122E0
1.660213958E0,1.094224548E-1,2.395019531E-3,9.774823151E0
1.670179958E0,1.007405090E-1,1.197509766E-3,9.766739960E0
1.680145958E0,1.291813660E-1,1.242416382E-2,9.940827942E0
1.690110958E0,2.674937439E-1,7.634124756E-3,9.944121094E0
