"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.677077948116868E9,"2023-02-22 15:59:08.117 UTC+01:00"
"PAUSE",6.899865271666495E2,1.677078638093655E9,"2023-02-22 16:10:38.094 UTC+01:00"
